race,linked_fate,linked_progress,linked_hurt,party_id,WEIGHT,AGE,Gender,party_reg,for_born,income_level,edu_level
Other,NA,NA,NA,4,0.58509,25,2,Republican,1,5,7
Blacks,2,2,2,3,1.33022,28,2,Other,1,3,7
Asians,NA,NA,NA,3,0.40699,22,2,Democrat,1,2,7
Whites,1,1,1,3,1.37097,25,2,Other,1,3,7
Whites,2,-1,1,3,1.19606,18,2,Decline to State,1,1,5
Whites,2,1,1,4,1.44329,29,2,Decline to State,1,1,7
Latinx,-2,-2,-2,1,0.30134,22,2,Democrat,1,3,6
Other,2,1,1,1,0.52252,28,2,Democrat,1,4,5
Latinx,2,2,2,1,0.34893,27,2,Democrat,1,5,7
Latinx,2,2,2,3,0.89507,19,2,Decline to State,1,2,5
Whites,2,2,1,1,0.24477,22,2,Democrat,1,5,6
Latinx,-1,1,-1,3,1.45947,18,2,Decline to State,1,1,3
Latinx,-1,2,-1,1,0.11104,22,2,Democrat,1,3,7
Blacks,2,2,2,1,0.18509,20,2,Democrat,1,4,7
Latinx,2,-2,-2,2,2.47612,19,2,Decline to State,1,2,3
Latinx,2,-2,-2,2,0.63213,19,2,Decline to State,1,2,3
Latinx,-2,-1,1,3,0.17087,21,2,Decline to State,1,3,6
Asians,1,-1,1,1,1.26971,26,2,Decline to State,1,4,8
Asians,1,-1,-1,1,0.39317,28,2,Democrat,1,3,7
Asians,2,-1,-1,3,0.77401,23,2,Decline to State,1,2,3
Latinx,-1,1,1,1,0.50412,19,2,Democrat,1,6,5
Asians,2,2,2,3,1.85546,18,2,Decline to State,1,1,3
Whites,-2,-2,-2,1,0.29537,28,2,Democrat,1,3,7
Asians,1,2,1,1,7.63664,38,2,Democrat,2,6,3
Whites,1,-2,-2,3,0.93393,25,2,Decline to State,1,1,7
Latinx,2,2,1,1,0.89507,19,2,Decline to State,1,1,5
Whites,2,1,1,4,0.30248,28,2,Decline to State,1,6,8
Whites,1,-1,-1,1,0.09066,24,2,Democrat,1,3,7
Latinx,1,1,1,1,0.48961,19,2,Democrat,1,5,3
Whites,2,1,1,1,0.31008,24,2,Democrat,1,2,7
Asians,1,1,1,1,0.40249,25,2,Democrat,2,6,7
Asians,2,2,2,3,2.89019,21,2,Other,1,3,3
Latinx,2,1,1,3,0.2285,22,2,Decline to State,1,1,5
Whites,1,-2,-1,1,0.34914,26,2,Democrat,1,5,7
Latinx,-1,-1,-1,1,0.55246,20,2,Democrat,1,2,3
Other,NA,NA,NA,4,0.29887,29,2,Republican,1,4,7
Asians,2,2,2,1,0.40249,28,2,Democrat,2,4,8
Latinx,-1,1,1,1,0.38089,29,2,Democrat,1,3,7
Whites,-1,-2,-2,1,0.41407,28,2,Decline to State,1,5,7
Whites,-2,-2,-2,1,0.41407,26,2,Decline to State,1,4,7
Whites,-1,-1,-1,1,0.35741,27,2,Democrat,1,5,7
Asians,1,1,1,3,0.36078,18,2,Decline to State,1,5,5
Latinx,1,-1,1,1,0.28979,20,2,Democrat,1,6,6
Whites,-1,-1,-2,1,1.13558,26,2,Republican,1,1,5
Whites,2,-1,-1,1,0.41328,38,2,Democrat,1,5,8
Whites,2,-2,2,3,0.25023,20,2,Other,1,1,5
Whites,-1,1,1,4,0.9019,33,2,Other,1,5,4
Whites,1,1,-1,1,0.13456,23,2,Democrat,1,6,7
Whites,2,1,-1,1,0.48852,36,2,Democrat,2,5,8
Whites,1,1,1,1,0.21319,18,2,Democrat,2,4,5
Whites,1,1,1,4,1.15473,33,2,Decline to State,1,4,6
Latinx,-1,-2,-2,1,0.38907,33,2,Democrat,1,2,7
Latinx,-2,-2,-2,2,0.07672,24,2,Decline to State,1,3,8
Latinx,1,1,1,1,0.35643,34,2,Democrat,1,3,8
Latinx,2,2,2,1,0.7636,20,2,Democrat,1,4,6
Latinx,2,2,2,1,1.5672,20,2,Democrat,1,2,5
Asians,-2,1,1,1,0.13503,24,2,Democrat,1,3,7
Latinx,2,2,2,1,0.52802,33,2,Democrat,1,5,8
Whites,2,1,1,4,0.41407,27,2,Decline to State,1,5,7
Whites,1,-1,-1,1,0.42533,39,2,Democrat,1,4,8
Whites,1,1,-1,1,0.09066,22,2,Democrat,1,2,7
Whites,1,-2,-2,1,0.48501,32,2,Democrat,1,6,7
Whites,1,-2,-1,1,0.30749,20,2,Democrat,1,6,6
Asians,1,2,1,1,0.53354,34,2,Democrat,1,5,7
Asians,1,2,2,1,0.75713,19,2,Democrat,1,5,3
Whites,-2,-2,-2,1,0.48501,31,2,Democrat,1,6,8
Whites,1,1,1,1,1.74317,35,2,Democrat,1,5,8
Whites,-1,-1,-1,1,0.76841,31,2,Democrat,1,5,5
Blacks,2,2,2,1,0.43298,21,2,Democrat,1,2,6
Other,NA,NA,NA,3,0.57364,31,2,Other,2,5,7
Whites,1,-1,-1,3,0.77233,33,2,Other,1,6,7
Whites,1,1,-1,1,0.42533,38,2,Democrat,1,5,8
Whites,1,2,-1,1,0.25726,26,2,Democrat,1,3,7
Latinx,-2,-1,-1,1,0.89629,28,2,Democrat,1,6,8
Latinx,1,1,1,1,0.42931,20,2,Democrat,1,2,6
Whites,1,-2,-2,1,0.44112,43,2,Democrat,1,6,7
Whites,1,1,-1,2,0.31903,26,2,Republican,1,5,7
